WaveLenght (nm)	Skylarr
360.79	0.567411701
360.8	0.567382274
360.81	0.567355504
360.82	0.567332369
360.83	0.567312394
360.84	0.567293854
360.85	0.567275815
360.86	0.56725891
360.87	0.567241673
360.88	0.567224623
360.89	0.567206217
360.9	0.567188332
360.91	0.567169679
360.92	0.56715002
360.93	0.56712914
360.94	0.567107197
360.95	0.567081757
360.96	0.567052449
360.97	0.567013557
360.98	0.566970432
360.99	0.566922371
361	0.566880844
361.01	0.566841552
361.02	0.566809314
361.03	0.566784608
361.04	0.566764663
361.05	0.566746862
361.06	0.566731141
361.07	0.566715434
361.08	0.56669857
361.09	0.566678144
361.1	0.566654387
361.11	0.566625109
361.12	0.566592334
361.13	0.566558259
361.14	0.566520014
361.15	0.566483922
361.16	0.56645189
361.17	0.566424873
361.18	0.566400125
361.19	0.566379241
361.2	0.56636016
361.21	0.566343027
361.22	0.566326468
361.23	0.566309307
361.24	0.566290191
361.25	0.566269095
361.26	0.566244224
361.27	0.566218329
361.28	0.56619074
361.29	0.566164859
361.3	0.566138221
361.31	0.566111921
361.32	0.566085873
361.33	0.566060942
361.34	0.566037131
361.35	0.566014081
361.36	0.565989707
361.37	0.565963894
361.38	0.565936569
361.39	0.565910124
361.4	0.565883733
361.41	0.56585501
361.42	0.565823447
361.43	0.565791432
361.44	0.565760852
361.45	0.565732742
361.46	0.565707246
361.47	0.565683097
361.48	0.565660733
361.49	0.565639247
361.5	0.565617243
361.51	0.565595944
361.52	0.565573078
361.53	0.565550923
361.54	0.565527073
361.55	0.565503175
361.56	0.565478465
361.57	0.56545386
361.58	0.565428384
361.59	0.565401901
361.6	0.565376159
361.61	0.56534992
361.62	0.565325265
361.63	0.565302474
361.64	0.565279492
361.65	0.565255421
361.66	0.565231054
361.67	0.565204775
361.68	0.565176881
361.69	0.565147025
361.7	0.565116091
361.71	0.56508493
361.72	0.565055142
361.73	0.56502561
361.74	0.564999033
361.75	0.564974991
361.76	0.564951848
361.77	0.564930134
361.78	0.564909811
361.79	0.564891074
361.8	0.56487289
361.81	0.564855375
361.82	0.56483795
361.83	0.564819261
361.84	0.564798829
361.85	0.564778553
361.86	0.564758386
361.87	0.564736242
361.88	0.564714141
361.89	0.564691094
361.9	0.564667996
361.91	0.564641966
361.92	0.564614302
361.93	0.564584373
361.94	0.564552722
361.95	0.564519587
361.96	0.564485118
361.97	0.564450991
361.98	0.56441539
361.99	0.564379603
362	0.564343993
362.01	0.564309492
362.02	0.564274514
362.03	0.564240328
362.04	0.564211144
362.05	0.564183103
362.06	0.564159292
362.07	0.564135991
362.08	0.564113352
362.09	0.564090062
362.1	0.564068872
362.11	0.564046394
362.12	0.564023752
362.13	0.564002641
362.14	0.563982404
362.15	0.563962601
362.16	0.563942105
362.17	0.563921555
362.18	0.563899495
362.19	0.563876901
362.2	0.563852743
362.21	0.563828505
362.22	0.563803148
362.23	0.563777873
362.24	0.563749901
362.25	0.563722328
362.26	0.563694291
362.27	0.563664319
362.28	0.563635036
362.29	0.56360453
362.3	0.563574309
362.31	0.56354643
362.32	0.563522001
362.33	0.563498553
362.34	0.563477638
362.35	0.563457106
362.36	0.563435762
362.37	0.563414099
362.38	0.5633938
362.39	0.563373419
362.4	0.563352732
362.41	0.563330681
362.42	0.563307412
362.43	0.56328279
362.44	0.563256965
362.45	0.563229501
362.46	0.563199961
362.47	0.563170129
362.48	0.563141457
362.49	0.563115196
362.5	0.563091062
362.51	0.56306654
362.52	0.563043446
362.53	0.563019493
362.54	0.562994751
362.55	0.56296912
362.56	0.562941174
362.57	0.56291175
362.58	0.562880239
362.59	0.562848024
362.6	0.562816872
362.61	0.562786116
362.62	0.562758289
362.63	0.562730666
362.64	0.562706641
362.65	0.562682786
362.66	0.562661507
362.67	0.562640911
362.68	0.562619956
362.69	0.562598394
362.7	0.562576106
362.71	0.562553632
362.72	0.562531181
362.73	0.562507256
362.74	0.562483841
362.75	0.562460733
362.76	0.562437504
362.77	0.562414846
362.78	0.562392283
362.79	0.562370568
362.8	0.562347691
362.81	0.562324279
362.82	0.562299277
362.83	0.562273349
362.84	0.56224465
362.85	0.562214627
362.86	0.562183868
362.87	0.562152334
362.88	0.562122319
362.89	0.562093381
362.9	0.562067028
362.91	0.562042256
362.92	0.562018778
362.93	0.56199677
362.94	0.561975317
362.95	0.561954676
362.96	0.561935232
362.97	0.561915922
362.98	0.56189625
362.99	0.561874965
363	0.561851991
363.01	0.561829087
363.02	0.561802674
363.03	0.561775832
363.04	0.561747612
363.05	0.56171902
363.06	0.561690125
363.07	0.561660208
363.08	0.561633032
363.09	0.561605398
363.1	0.561579415
363.11	0.561555457
363.12	0.56153339
363.13	0.56151431
363.14	0.561494211
363.15	0.561476351
363.16	0.561457857
363.17	0.561439319
363.18	0.561419888
363.19	0.561396704
363.2	0.561371656
363.21	0.561340501
363.22	0.561305195
363.23	0.561265692
363.24	0.561217659
363.25	0.561172906
363.26	0.561130497
363.27	0.561097556
363.28	0.561069304
363.29	0.561045624
363.3	0.561026438
363.31	0.561009851
363.32	0.560992734
363.33	0.560975961
363.34	0.560957361
363.35	0.560937009
363.36	0.560914085
363.37	0.560889529
363.38	0.560863594
363.39	0.560837023
363.4	0.560809959
363.41	0.560782275
363.42	0.560755323
363.43	0.560729416
363.44	0.56070582
363.45	0.560683936
363.46	0.560661969
363.47	0.560640299
363.48	0.560619624
363.49	0.560599159
363.5	0.56057973
363.51	0.560558341
363.52	0.560535092
363.53	0.560512143
363.54	0.560488389
363.55	0.560464627
363.56	0.560439156
363.57	0.560412769
363.58	0.560384138
363.59	0.560354495
363.6	0.560322844
363.61	0.560292502
363.62	0.560263711
363.63	0.560237094
363.64	0.560212528
363.65	0.560191074
363.66	0.560170856
363.67	0.560151863
363.68	0.560133036
363.69	0.560114151
363.7	0.560092115
363.71	0.560069317
363.72	0.560044965
363.73	0.560018572
363.74	0.559989094
363.75	0.559956246
363.76	0.559921085
363.77	0.559886651
363.78	0.55985279
363.79	0.559823753
363.8	0.559797653
363.81	0.559773929
363.82	0.559753185
363.83	0.5597325
363.84	0.559713229
363.85	0.559691456
363.86	0.559668492
363.87	0.559644046
363.88	0.559616642
363.89	0.559589033
363.9	0.559560227
363.91	0.559532414
363.92	0.559505019
363.93	0.559476619
363.94	0.55944979
