  Wl(nm)  HCRF  Rso  Rdo  Rsd  Rdd  ABSs  ABSd
       611       0.04096707       0.03859325       0.04833001       0.05442481       0.05940225       0.87005728       0.77931557
       612       0.04054710       0.03817166       0.04794126       0.05372123       0.05875700       0.87098717       0.78023640
       613       0.04011247       0.03773575       0.04753766       0.05299012       0.05808513       0.87195142       0.78118970
       614       0.03969060       0.03731227       0.04714597       0.05227770       0.05743059       0.87289217       0.78212153
       615       0.03927464       0.03689588       0.04675776       0.05158208       0.05678918       0.87380009       0.78301347
       616       0.03888848       0.03650825       0.04640070       0.05092520       0.05618649       0.87467172       0.78388167
       617       0.03851906       0.03613942       0.04605800       0.05030151       0.05561201       0.87549151       0.78469241
       618       0.03817135       0.03579191       0.04573601       0.04971153       0.05506915       0.87626958       0.78546458
       619       0.03786720       0.03548748       0.04545610       0.04919113       0.05459177       0.87696202       0.78615725
       620       0.03760276       0.03522368       0.04521589       0.04873658       0.05417642       0.87757347       0.78677468
       621       0.03736543       0.03498734       0.04500253       0.04832653       0.05380298       0.87813015       0.78734124
       622       0.03717977       0.03480130       0.04484289       0.04799787       0.05350957       0.87859664       0.78783323
       623       0.03701455       0.03463597       0.04469969       0.04770676       0.05324872       0.87900638       0.78826289
       624       0.03687179       0.03449420       0.04457957       0.04745421       0.05302426       0.87936878       0.78864849
       625       0.03677056       0.03439490       0.04450175       0.04727442       0.05286894       0.87964108       0.78894994
       626       0.03668103       0.03430838       0.04443586       0.04711274       0.05273030       0.87989206       0.78923176
       627       0.03661814       0.03425241       0.04440057       0.04700431       0.05264238       0.88007691       0.78945174
       628       0.03654565       0.03421612       0.04438522       0.04693121       0.05258825       0.88021758       0.78963033
       629       0.03651770       0.03417107       0.04436064       0.04684076       0.05251731       0.88038037       0.78982978
       630       0.03648339       0.03413656       0.04434642       0.04676770       0.05246281       0.88052185       0.79000936
       631       0.03644031       0.03408173       0.04431221       0.04666102       0.05237650       0.88070446       0.79022733
       632       0.03634927       0.03399446       0.04424166       0.04650153       0.05223702       0.88094193       0.79048717
       633       0.03624262       0.03388138       0.04414952       0.04629545       0.05205627       0.88124693       0.79081964
       634       0.03608067       0.03371902       0.04400383       0.04600562       0.05179264       0.88164547       0.79123032
       635       0.03586349       0.03350410       0.04381016       0.04562449       0.05144540       0.88216609       0.79176463
       636       0.03560275       0.03324338       0.04356689       0.04516769       0.05102320       0.88276935       0.79236690
       637       0.03527776       0.03291934       0.04326432       0.04459807       0.05049648       0.88352165       0.79311835
       638       0.03490770       0.03255018       0.04291207       0.04395010       0.04989175       0.88436051       0.79394178
       639       0.03449004       0.03213421       0.04251281       0.04321944       0.04920802       0.88530081       0.79486055
       640       0.03404442       0.03168956       0.04208812       0.04243202       0.04847257       0.88632125       0.79586445
       641       0.03357526       0.03122401       0.04163744       0.04160529       0.04769588       0.88738027       0.79689572
       642       0.03309698       0.03074572       0.04117753       0.04075053       0.04689495       0.88848335       0.79797834
       643       0.03260936       0.03026242       0.04070726       0.03988265       0.04607754       0.88959299       0.79905842
       644       0.03213255       0.02978944       0.04024990       0.03902264       0.04526955       0.89070360       0.80014980
       645       0.03166799       0.02933245       0.03980417       0.03819071       0.04448496       0.89176900       0.80118972
       646       0.03122217       0.02890423       0.03939025       0.03740123       0.04374307       0.89279250       0.80220052
       647       0.03079959       0.02851002       0.03900538       0.03666871       0.04305184       0.89373651       0.80312777
       648       0.03042260       0.02815547       0.03866389       0.03600113       0.04242522       0.89461059       0.80399927
       649       0.03011977       0.02784076       0.03835855       0.03540715       0.04186598       0.89538368       0.80476643
       650       0.02986897       0.02756847       0.03809951       0.03488407       0.04137722       0.89607971       0.80547098
       651       0.02964328       0.02734202       0.03788969       0.03443574       0.04096236       0.89669473       0.80610933
       652       0.02940235       0.02713744       0.03770209       0.03402736       0.04058579       0.89726019       0.80670112
       653       0.02924135       0.02693972       0.03751691       0.03363136       0.04021777       0.89780086       0.80726028
       654       0.02904268       0.02674422       0.03733749       0.03323444       0.03985150       0.89835267       0.80783980
       655       0.02882022       0.02653714       0.03714574       0.03281346       0.03946173       0.89893422       0.80844773
       656       0.02860331       0.02631717       0.03694715       0.03235530       0.03904110       0.89958249       0.80913852
       657       0.02836355       0.02607147       0.03672083       0.03184211       0.03856658       0.90029939       0.80989485
       658       0.02810217       0.02580600       0.03647266       0.03128392       0.03804767       0.90107267       0.81070527
       659       0.02782548       0.02552446       0.03620680       0.03068939       0.03749293       0.90189104       0.81155905
       660       0.02753666       0.02523446       0.03592973       0.03006641       0.03690916       0.90274623       0.81244881
       661       0.02724113       0.02493752       0.03564031       0.02942647       0.03630523       0.90361282       0.81334055
       662       0.02695506       0.02465333       0.03535786       0.02880241       0.03571228       0.90445161       0.81419740
       663       0.02669090       0.02439397       0.03510248       0.02821093       0.03515223       0.90526184       0.81503791
       664       0.02645172       0.02415910       0.03487079       0.02765851       0.03462894       0.90602492       0.81583455
       665       0.02624608       0.02395835       0.03466904       0.02716768       0.03416141       0.90670349       0.81654209
       666       0.02607324       0.02379073       0.03450056       0.02673592       0.03375042       0.90731007       0.81718184
       667       0.02593604       0.02365893       0.03436463       0.02637332       0.03340305       0.90782240       0.81772282
       668       0.02584493       0.02357196       0.03427786       0.02608935       0.03313407       0.90824895       0.81819246
       669       0.02578047       0.02351369       0.03421780       0.02586826       0.03292354       0.90858771       0.81856885
       670       0.02575570       0.02349233       0.03419961       0.02571504       0.03278153       0.90885318       0.81888537
       671       0.02575662       0.02349760       0.03420981       0.02561764       0.03269405       0.90904944       0.81913588
       672       0.02578116       0.02352598       0.03424072       0.02557126       0.03265344       0.90917301       0.81930745
       673       0.02583671       0.02358495       0.03430666       0.02557902       0.03266791       0.90924060       0.81943561
       674       0.02590993       0.02366194       0.03438812       0.02562832       0.03272012       0.90924709       0.81949578
       675       0.02600649       0.02376136       0.03449680       0.02571895       0.03281535       0.90921266       0.81952664
       676       0.02612673       0.02388418       0.03462953       0.02585418       0.03295369       0.90912403       0.81950600
       677       0.02626700       0.02402642       0.03478330       0.02603164       0.03313347       0.90898295       0.81943513
       678       0.02643530       0.02419569       0.03496945       0.02626114       0.03336687       0.90878752       0.81932204
       679       0.02662671       0.02438813       0.03517785       0.02654870       0.03365480       0.90850945       0.81911997
       680       0.02684873       0.02461117       0.03542118       0.02691120       0.03401715       0.90813658       0.81882665
       681       0.02711384       0.02487541       0.03571058       0.02736971       0.03447442       0.90764291       0.81841733
