wl(nm),dif/tot veg smoothed
1702,0.052233939
1703,0.052259811
1704,0.052158554
1705,0.052001918
1706,0.052012526
1707,0.051701603
1708,0.051617018
1709,0.051760342
1710,0.051695016
1711,0.051550903
1712,0.051319005
1713,0.051566676
1714,0.051475555
1715,0.051381425
1716,0.051213515
1717,0.051070777
1718,0.051019668
1719,0.050959136
1720,0.050669145
1721,0.050718538
1722,0.050630806
1723,0.050057224
1724,0.049977257
1725,0.049910761
1726,0.049924571
1727,0.049539253
1728,0.049543845
1729,0.049441721
1730,0.049336511
1731,0.049110887
1732,0.048971762
1733,0.048969215
1734,0.0488436
1735,0.048765562
1736,0.048719374
1737,0.048702053
1738,0.048055056
1739,0.047989988
1740,0.047943766
1741,0.048073344
1742,0.047946409
1743,0.047844201
1744,0.048192709
1745,0.048102887
1746,0.047726133
1747,0.047574634
1748,0.047495023
1749,0.04752084
1750,0.04749432
1751,0.047399637
1752,0.047090284
1753,0.047089469
1754,0.046615532
1755,0.046575819
1756,0.046457394
1757,0.045678154
1758,0.045402505
1759,0.045869937
1760,0.045656453
1761,0.045284656
1762,0.044836587
1763,0.044795495
1764,0.044533125
1765,0.043859497
1766,0.043497591
1767,0.043027636
1768,0.042764888
1769,0.042831725
1770,0.041716802
1771,0.041514123
1772,0.041050466
1773,0.041126436
1774,0.041002969
1775,0.0410263
1776,0.038768304
1777,0.037923722
1778,0.037852967
1779,0.037855503
1780,0.037441081
1781,0.037371513
1782,0.037196741
1783,0.036991012
1784,0.036586181
1785,0.035877475
1786,0.03601542
1787,0.035506806
1788,0.03505933
1789,0.034709323
1790,0.034547744
1791,0.03533508
1792,0.034585644
1793,0.034064464
1794,0.033719808
1795,0.033022528
1796,0.032940942
1797,0.029758492
1798,0.029942109
1799,0.030014821
1800,0.029365565
1801,0.029171338
1802,0.028761685
1803,0.028174903
1804,0.027897509
1805,0.027604075
1806,0.028702685
1807,0.027937211
1808,0.027212664
1809,0.0276495
1810,0.027496535
1811,0.027033393
1812,0.026530146
1813,0.026564356
1814,0.026704572
1815,0.026578734
1816,0.026333514
1817,0.020239453
1818,0.024697761
1819,0.024388407
1820,0.024241647
1821,0.033944668
1822,0.033776758
1823,0.033585446
1824,0.033389193
1825,0.033372461
1826,0.033374728
1827,0.032506336
1828,0.033518476
1829,0.034374739
1830,0.034416172
1831,0.03347527
1832,0.033794381
1833,0.033090869
1834,0.033108925
1835,0.032970499
1836,0.032833061
1837,0.033183957
